LanePointX,LanePointY
106.877877,57.341851
107.063781,57.201295
107.249318,57.058854
107.432690,56.915911
107.615708,56.771066
107.797269,56.625185
107.977925,56.477828
108.157015,56.329538
108.335386,56.179619
108.512508,56.028510
108.688682,55.875954
108.860108,55.719337
109.031745,55.561789
109.203197,55.405295
109.375471,55.248219
109.546616,55.092181
109.718438,54.935517
109.890524,54.778608
110.062078,54.622181
110.233126,54.466215
110.404679,54.309788
110.575809,54.153747
110.747692,53.997020
110.918925,53.840885
111.089729,53.685141
111.260676,53.529267
111.431792,53.373238
111.602838,53.217274
111.773867,53.061325
111.944790,52.905473
112.115529,52.749788
112.286390,52.593992
112.458774,52.439916
112.633144,52.288090
112.805936,52.135007
112.976903,51.979868
113.146201,51.823391
113.314699,51.665252
113.481666,51.506226
113.647322,51.346130
113.811498,51.185137
113.974477,51.022975
114.136998,50.858897
114.297440,50.694538
114.457245,50.528432
114.615109,50.361934
114.771919,50.194123
114.928005,50.024634
115.081991,49.854963
115.235535,49.683291
115.386973,49.511475
115.537496,49.338180
115.686973,49.163543
115.834391,48.988759
115.981119,48.812214
116.126531,48.634644
116.270084,48.456727
116.412526,48.277550
116.553882,48.097070
116.693584,47.916013
116.832444,47.733327
116.968984,47.550965
117.105115,47.366388
117.238944,47.182151
117.372061,46.996087
117.503884,46.808984
117.633620,46.621984
117.762473,46.433369
117.890127,46.243578
118.015825,46.053745
118.140605,45.862313
118.263316,45.671051
118.384999,45.478354
118.505503,45.284439
118.624290,45.090172
118.741418,44.895481
118.857300,44.699687
118.971690,44.503201
119.084639,44.305938
119.196544,44.107180
119.306607,43.908354
119.415595,43.708087
119.523207,43.506912
119.629095,43.305490
119.733990,43.102439
119.836941,42.899581
119.938624,42.695596
120.038745,42.491065
120.137390,42.285817
120.234574,42.079817
120.330393,41.872857
120.424316,41.666097
120.517058,41.457972
120.607886,41.250129
120.697527,41.040918
120.785577,40.831262
120.871778,40.621804
120.956752,40.411041
121.040041,40.200099
121.121833,39.988513
121.202349,39.775694
121.280807,39.563722
121.358203,39.349926
121.433536,39.137063
121.507576,38.922975
121.580331,38.707605
121.651378,38.492189
121.721242,38.275136
121.789559,38.057533
121.856597,37.838494
121.922387,37.617856
121.986682,37.396397
122.049822,37.172877
122.111637,36.947806
122.172202,36.720812
122.231517,36.491768
122.289583,36.260546
122.346374,36.027093
122.401892,35.791228
122.456120,35.552856
122.508977,35.312149
122.560560,35.068430
122.610612,34.822670
122.659284,34.573893
122.706309,34.323190
122.751784,34.069816
122.795656,33.813751
122.837732,33.555845
122.878166,33.294846
122.916759,33.031679
122.953607,32.765292
122.988383,32.497697
123.021255,32.227278
123.052133,31.954292
123.081013,31.678216
123.107660,31.400778
123.132092,31.121456
123.154356,30.839064
123.174303,30.554917
123.191885,30.268951
123.207107,29.980022
123.219768,29.691109
123.229973,29.399128
123.237625,29.105388
123.242640,28.811617
123.245027,28.515090
123.244720,28.219035
123.241700,27.920964
123.235932,27.621274
123.227431,27.322233
123.216116,27.021726
123.201989,26.720690
123.184998,26.418603
123.160752,26.116899
123.133661,25.813186
123.106336,25.510107
123.078731,25.206424
123.050806,24.901097
123.022775,24.595715
122.994688,24.290301
122.966516,23.984258
122.938315,23.678022
122.910000,23.370611
122.881821,23.064705
122.853541,22.757713
